age,job_n,marital_n,education_n,default_n,housing_n,loan_n,contact_n,month_n,day_of_week_n,campaign,pdays,previous,poutcome_n,cons.price.idx,cons.conf.idx
51,4,0,2,1,1,1,0,0,4,1,999,0,0,93.994,-36.4
50,3,0,3,0,1,0,0,0,3,2,999,0,0,93.994,-36.4
29,8,1,4,0,1,0,1,0,2,2,999,1,1,92.893,-46.2
42,1,0,6,0,1,0,1,8,0,6,999,0,0,93.075,-47.1
25,4,1,4,0,1,0,1,2,0,2,999,0,0,93.918,-42.7
41,3,0,1,0,1,0,0,0,4,1,999,0,0,93.994,-36.4
30,2,1,1,0,1,1,1,2,1,1,999,0,0,93.918,-42.7
30,3,0,0,0,0,1,1,0,0,1,999,0,0,92.893,-46.2
33,3,1,1,0,1,0,0,0,2,2,999,0,0,93.994,-36.4
29,1,0,1,1,0,0,1,2,2,4,999,0,0,93.918,-42.7
45,6,0,6,0,0,0,1,5,1,2,999,0,0,93.2,-42.0
36,3,0,3,1,0,0,1,2,3,1,999,0,0,93.918,-42.7
45,3,0,0,1,0,0,0,0,1,1,999,0,0,93.994,-36.4
49,0,0,4,0,1,0,1,2,3,2,999,0,0,93.918,-42.7
31,2,1,6,0,1,1,1,8,0,5,999,1,1,93.075,-47.1
32,4,0,4,0,0,0,1,4,2,2,14,4,1,94.601,-49.5
50,4,0,1,0,0,0,1,6,0,3,999,0,0,92.713,-33.0
37,2,0,6,1,1,0,1,3,0,1,999,0,0,93.444,-36.1
26,1,1,1,0,1,0,0,0,1,1,999,0,0,93.994,-36.4
45,1,0,1,0,1,0,1,3,3,1,999,0,0,93.444,-36.1
55,2,0,1,0,0,0,0,0,3,1,999,0,0,93.994,-36.4
36,3,0,0,1,1,0,1,2,1,8,999,0,0,93.918,-42.7
59,5,0,4,0,1,1,1,1,0,1,999,0,0,92.963,-40.8
39,3,0,3,1,1,1,0,0,1,2,999,0,0,93.994,-36.4
28,11,0,6,0,0,1,0,0,3,2,999,0,0,93.994,-36.4
36,4,0,1,0,0,0,1,8,0,1,999,0,0,93.075,-47.1
52,6,2,6,0,1,0,1,5,0,1,999,0,0,93.2,-42.0
26,2,1,1,0,0,0,1,2,4,2,999,0,0,93.918,-42.7
46,3,0,2,0,1,0,0,0,3,22,999,0,0,93.994,-36.4
42,3,0,2,0,1,1,1,5,1,1,999,0,0,93.2,-42.0
30,6,1,1,0,0,1,1,0,2,2,999,0,0,92.893,-46.2
43,2,0,1,0,0,0,0,0,1,2,999,0,0,93.994,-36.4
28,3,1,0,1,1,0,0,2,4,2,999,0,0,93.918,-42.7
35,3,0,3,0,0,0,0,0,2,1,999,0,0,93.994,-36.4
52,2,0,1,0,0,0,1,2,4,1,999,0,0,93.918,-42.7
31,2,1,6,1,1,1,1,0,4,1,999,0,0,92.893,-46.2
52,2,2,6,1,0,0,1,2,1,1,999,0,0,93.918,-42.7
64,5,0,6,0,0,0,1,7,4,1,3,2,2,93.369,-34.8
55,3,0,0,0,1,0,0,2,1,1,999,0,0,93.918,-42.7
40,3,0,3,1,1,1,1,0,2,2,999,1,1,92.893,-46.2
49,2,0,1,1,0,0,1,4,2,1,6,3,2,94.601,-49.5
53,2,0,6,0,0,0,0,0,3,7,999,0,0,93.994,-36.4
25,11,1,5,0,0,0,0,2,0,3,999,0,0,92.469,-33.6
44,4,1,5,1,1,0,0,0,0,1,999,0,0,93.994,-36.4
50,10,0,4,0,1,0,0,2,3,2,999,0,0,93.918,-42.7
